"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","DV_Edu_prior_index","category"
"294","Sierra Leone",349,883,1447,1255,349,1000,1000,2000,2,2000,2000,3000,2000,2000,20201215,1000,0,1000,3000,1000,0,0,1000,0,0,0,0,2000,2000,2000,0,0,3000,0,1000,2451,75,37.04,38.02,0,22283,"middle"
"295","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20200715,3000,2000,2000,3000,2000,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,3000,10645,286,89.81,80.21,75,21655,"low"
"296","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20200815,3000,2000,2000,3000,2000,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,3000,22619,603,89.81,80.21,75,21655,"low"
"297","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20200915,3000,1000,2000,3000,1000,2000,2000,4000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,27088,792,80.56,72.92,75,21655,"low"
"298","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20201015,3000,1000,1000,3000,0,2000,1000,1000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,31061,908,52.78,57.29,75,21655,"low"
"299","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20201115,3000,1000,1000,3000,0,2000,1000,1000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,36516,1044,52.78,57.29,75,21655,"low"
"300","El Salvador",1561,7,1,1525,1561,1000,1000,1000,2,1000,2000,2000,2000,2000,20201215,3000,1000,1000,1000,0,2000,1000,1000,1000,2000,0,0,2000,3000,1000,0,0,3000,0,2000,42132,1212,47.22,54.17,75,21655,"low"
"301","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20200715,2000,2000,2000,0,0,1000,1000,0,1000,1000,0,0,2000,1000,2000,0,0,2000,0,1000,19334,429,44.44,42.19,37.5,22797,"middle"
"302","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20200815,2000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,2000,0,1000,29471,670,58.33,53.12,62.5,22797,"middle"
"303","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20200915,1000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,3000,0,1000,32511,735,54.63,52.6,62.5,21797,"low"
"304","Serbia",193,535,1351,1525,193,2000,1000,2000,3,1000,2000,3000,2000,2000,20201015,1000,2000,2000,4000,0,1000,1000,1000,2000,1000,0,0,2000,1000,2000,0,0,3000,0,1000,35454,770,54.63,52.6,62.5,21797,"low"
