"","country","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index"
"109","Macedonia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,12,16,NA,39,NA
"110","Panama",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,56,60,NA,NA,7,3,3,NA,13,NA
"111","Kosovo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,4,3,NA,10,NA
"112","Vietnam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64,59,NA,NA,NA,NA,NA,NA,NA,NA
"113","Kenya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,68,68,NA,NA,NA,NA,NA,NA,NA,NA
"114","UAE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115","Uzbekistan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA
"116","Ecuador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,65,73,NA,NA,NA,NA,NA,NA,NA,NA
"117","El Salvador",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA
"118","Cambodia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,75,NA,NA,NA,NA,NA,NA,NA,NA
"119","Iraq",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77,NA,NA,NA,NA,NA,NA,NA,NA
"120","Guatemala",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,73,78,NA,NA,NA,NA,NA,NA,NA,NA
