"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","prop_instruction","prop_closed","prop_break","prop_open","open_rank","instruction_rank","closed_rank","break_rank","schooling_index","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score"
"101","Saint Lucia",63,100,20,52,172,1,2,1,2,2,2,2,2,2,0.471232876712329,0.273972602739726,0.172602739726027,0.0547945205479452,63,69,49,69,250,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Liechtenstein",58,28,112,37,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484931506849315,0.0767123287671233,0.158904109589041,0.306849315068493,157,84,168,84,493,20201215,1,2,2,4,0,1,0,3,0,0,NA,NA,2,2,2,NA,0,2,0,1,1638,22,56.48,47.4,0,NA,NA,NA,NA,63,63,NA,NA,NA,NA,NA,126,NA,NA,NA,NA,NA,NA,NA,NA,NA
"103","Sri Lanka",15,141,42,37,220,1,1,1,2,2,1,2,2,2,0.602739726027397,0.386301369863014,0.0410958904109589,0.115068493150685,79,190,23,190,482,20201215,2,3,2,4,2,3,2,2,0,2,0,0,2,2,2,0,0,4,0,3,34121,154,75.46,70.57,50,NA,NA,67,66,15,15,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA
"104","Lesotho",6,42,66,121,229,1,2,2,2,NA,2,2,2,2,0.627397260273973,0.115068493150685,0.0164383561643836,0.180821917808219,98,196,143,196,633,20201215,1,1,1,2,0,1,0,1,0,0,0,0,2,1,1,0,0,4,0,1,2307,44,36.11,33.85,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"105","Lithuania",64,72,64,35,171,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.468493150684932,0.197260273972603,0.175342465753425,0.175342465753425,96,64,87,64,311,20201215,2,2,2,4,0,1,1,2,1,2,0,0,1,2,1,0,0,3,0,3,96694,1112,57.41,58.33,62.5,37,27,45,42,53,54,44,43,48,269,135,107,33,2.9,34,3,25,2.8,26,2.5,118
"106","Luxembourg",55,45,118,17,180,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.493150684931507,0.123287671232877,0.150684931506849,0.323287671232877,165,97,137,97,496,20201215,1,2,2,4,0,2,0,3,1,2,0,0,2,3,2,0,0,3,0,2,42250,418,60.19,63.02,62.5,61,3,NA,NA,70,70,40,46,45,274,131,140,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107","Latvia",76,43,103,13,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435616438356164,0.117808219178082,0.208219178082192,0.282191780821918,148,36,141,36,361,20201215,2,2,2,4,0,0,0,2,2,2,0,0,2,2,1,2431368,0,3,0,2,26472,357,53.7,58.85,100,31,33,50,50,59,59,47,55,50,303,152,118,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108","Morocco",43,87,85,20,192,1,1,1,1,1,2,2,1,1,0.526027397260274,0.238356164383562,0.117808219178082,0.232876712328767,124,142,64,142,472,20201215,1,2,2,3,1,2,2,3,1,0,0,0,2,2,1,0,0,3,0,2,403619,6711,66.2,55.47,25,NA,NA,57,57,NA,NA,5,5,5,NA,15,NA,1,2.3,4,2.7,2,4.3,2,5.8,9
"109","Monaco",69,31,125,10,166,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.454794520547945,0.0849315068493151,0.189041095890411,0.342465753424658,169,48,162,48,427,20201215,1,2,1,4,0,2,0,2,2,NA,NA,0,2,2,NA,0,0,4,0,2,678,3,51.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110","Republic of Moldova",55,80,100,0,180,2,2,2,3,2,3,3,2,2,0.493150684931507,0.219178082191781,0.150684931506849,0.273972602739726,143,97,70,97,407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
