"","unicef_country","days_academic_break","days_fully_closed","days_fully_open","days_partially_closed","instruction_days","tracking_or_monitoring_of_student_learning","content_need_sensitive","Support_vulnerable","usage_of_remote_learning_platforms","parental_caregiver_support","curriculum_coverage","access_to_remote_learning","teacher_support","quality_remote_platform_content","prop_instruction","prop_closed","prop_break","prop_open","open_rank","instruction_rank","closed_rank","break_rank","schooling_index","date","c1_school_closing","c2_workplace_closing","c3_cancel_public_events","c4_restrictions_on_gatherings","c5_close_public_transport","c6_stay_at_home_requirements","c7_restrictions_on_internal_movement","c8_international_travel_controls","e1_income_support","e2_debt_contract_relief","e3_fiscal_measures","e4_international_support","h1_public_information_campaigns","h2_testing_policy","h3_contact_tracing","h4_emergency_investment_in_healthcare","h5_investment_in_vaccines","h6_facial_coverings","h7_vaccination_policy","h8_protection_of_elderly_people","confirmed_cases","confirmed_deaths","stringency_index","government_response_index","economic_support_index","talent_competitiveness_ranking_imd","position_2020","best_countries_for_education_ranking_us_news_2020","best_countries_for_education_ranking_us_news_2021","quality_of_education_system_ceoworld","opportunity_in_education_ceoworld","pisa_reading_2018","pisa_math_2018","pisa_science_2018","iv_index_no_timss","pisa_index","ceoworld_index","m8_avg_scale_score","m8_scaled","s8_avg_scale_score","s8_scaled","m4_avg_scale_score","m4_scaled","s4_avg_scale_score","s4_scaled","TIMSS_score"
"137","Oman",143,41,3,48,92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.252054794520548,0.112328767123288,0.391780821917808,0.00821917808219178,29,2,148,2,181,20201215,1,0,2,4,0,0,0,2,2,1,0,0,2,3,1,0,0,4,0,0,126719,1475,42.59,48.96,75,NA,NA,62,62,27,27,NA,NA,NA,NA,NA,54,5,2.8,10,2.9,5,3.7,5,4.1,25
"138","Pakistan",56,112,42,25,179,1,1,1,1,1,2,2,1,2,0.49041095890411,0.306849315068493,0.153424657534247,0.115068493150685,79,92,37,92,300,20201215,3,3,2,4,0,3,0,2,1,2,0,0,2,2,2,0,0,4,0,3,445977,9010,64.35,67.45,75,NA,NA,NA,NA,9,9,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139","Panama",23,211,1,0,212,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.580821917808219,0.578082191780822,0.063013698630137,0.00273972602739726,20,181,1,181,383,20201215,3,2,2,4,0,2,0,1,1,2,0,0,2,3,2,0,0,4,0,2,196987,3411,62.04,67.19,75,NA,NA,56,60,NA,NA,7,3,3,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140","Peru",34,77,3,121,201,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.550684931506849,0.210958904109589,0.0931506849315069,0.00821917808219178,29,162,74,162,427,20201215,2,2,2,3,2,2,2,2,1,1,0,0,2,3,2,0,0,3,0,2,986130,91022,78.7,71.87,50,13,51,59,63,NA,NA,14,14,13,NA,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141","Philippines",91,141,0,3,144,1,1,1,NA,1,NA,1,NA,NA,0.394520547945205,0.386301369863014,0.249315068493151,0,1,9,23,9,42,20201215,3,2,2,3,1,2,1,2,1,2,0,0,2,2,2,0,0,3,0,2,451839,8812,64.81,64.06,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142","Palau",56,40,139,0,179,NA,NA,NA,2,NA,NA,2,NA,NA,0.49041095890411,0.10958904109589,0.153424657534247,0.380821917808219,177,92,150,92,511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143","Papua New Guinea",35,30,170,0,200,NA,2,2,2,NA,2,2,NA,2,0.547945205479452,0.0821917808219178,0.0958904109589041,0.465753424657534,191,159,163,159,672,20201215,0,2,1,3,0,0,0,2,0,2,0,0,2,1,2,0,0,3,0,0,729,8,37.96,40.62,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144","Poland",58,96,42,39,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484931506849315,0.263013698630137,0.158904109589041,0.115068493150685,79,84,56,84,303,20201215,3,2,2,4,1,1,1,3,2,1,0,0,2,2,1,0,0,3,0,3,1147446,23309,75,69.79,75,29,35,23,26,61,61,68,69,68,362,205,122,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145","Democratic People's Republic of Korea",44,28,122,41,191,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.523287671232877,0.0767123287671233,0.120547945205479,0.334246575342466,168,138,168,138,612,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146","Portugal",84,34,84,33,151,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.413698630136986,0.0931506849315069,0.23013698630137,0.23013698630137,121,19,156,19,315,20201215,1,2,2,4,1,2,0,3,1,2,0,0,2,3,1,0,0,3,0,2,353576,5733,63.89,63.54,75,38,26,20,25,57,57,54,51,53,298,158,114,22,3.2,28,2.9,21,2.6,16,2.6,87
"147","Paraguay",54,158,0,23,181,3,3,3,3,3,2,2,2,3,0.495890410958904,0.432876712328767,0.147945205479452,0,1,103,17,103,224,20201215,3,3,2,2,0,2,0,1,1,2,0,0,2,2,2,0,0,3,0,1,95353,1991,58.33,59.38,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148","State of Palestine",36,83,0,116,199,2,NA,1,2,2,2,2,2,2,0.545205479452055,0.227397260273973,0.0986301369863014,0,1,156,67,156,380,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149","Qatar",66,68,0,101,169,2,2,2,3,2,2,2,2,2,0.463013698630137,0.186301369863014,0.180821917808219,0,1,57,96,57,211,20201215,2,1,2,3,1,1,1,3,2,1,0,0,2,3,2,0,0,2,0,1,141272,241,64.81,61.98,62.5,35,9,37,41,24,25,18,19,21,116,58,49,10,4,15,4.4,8,3.4,7,3.9,40
"150","Romania",78,108,0,49,157,1,1,1,2,2,2,2,2,2,0.43013698630137,0.295890410958904,0.213698630136986,0,1,30,41,30,102,20201215,3,2,2,4,0,2,2,3,2,2,0,0,2,2,2,0,0,4,0,1,565758,13698,76.85,72.92,87.5,7,57,40,47,44,44,31,26,24,226,81,88,15,4.3,13,4.2,NA,NA,NA,NA,NA
"151","Russian Federation",68,0,102,65,167,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.457534246575342,0,0.186301369863014,0.279452054794521,146,53,189,53,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,4.5,35,4.2,29,3.3,32,3,131
"152","Rwanda",10,137,15,73,225,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.616438356164384,0.375342465753425,0.0273972602739726,0.0410958904109589,62,193,28,193,476,20201215,0,2,2,3,1,2,2,1,1,2,0,0,2,3,2,0,0,3,0,0,6832,57,58.8,58.07,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153","Saudi Arabia",72,163,0,0,163,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.446575342465753,0.446575342465753,0.197260273972603,0,1,44,16,44,105,20201215,3,1,2,3,0,0,0,3,2,1,0,0,2,3,2,0,0,3,0,1,360155,6069,53.7,57.29,62.5,30,34,46,35,53,53,13,6,8,167,27,106,3,2.5,5,2.6,4,3.6,4,4.1,16
"154","Sudan",146,86,3,0,89,1,2,2,2,1,3,2,2,3,0.243835616438356,0.235616438356164,0.4,0.00821917808219178,29,1,65,1,96,20201215,3,1,0,0,0,0,0,1,1,0,0,0,1,1,1,0,0,1,0,0,22082,1372,21.3,21.88,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155","Senegal",63,63,62,47,172,1,2,2,NA,2,2,2,2,2,0.471232876712329,0.172602739726027,0.172602739726027,0.16986301369863,94,69,110,69,342,20201215,0,2,2,2,0,0,0,3,0,0,0,0,2,2,2,0,0,3,0,0,17216,350,43.52,39.58,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156","Singapore",50,19,128,38,185,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.506849315068493,0.0520547945205479,0.136986301369863,0.350684931506849,170,120,176,120,586,20201215,1,2,1,4,0,1,0,3,2,2,0,0,2,2,2,0,0,4,0,2,58341,29,50.93,61.98,100,55,9,19,21,76,76,75,76,76,388,227,152,40,4,40,3.9,34,3.9,34,3.4,148
"157","Solomon Islands",46,19,155,15,189,1,1,1,1,2,1,1,1,1,0.517808219178082,0.0520547945205479,0.126027397260274,0.424657534246575,187,132,176,132,627,20201215,0,0,1,0,1,0,1,4,0,1,0,0,2,1,0,0,0,4,0,0,17,0,36.11,31.77,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158","Sierra Leone",68,53,100,14,167,1,1,2,2,2,2,3,2,2,0.457534246575342,0.145205479452055,0.186301369863014,0.273972602739726,143,53,126,53,375,20201215,1,0,1,3,1,0,0,1,0,0,0,0,2,2,2,0,0,3,0,1,2451,75,37.04,38.02,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159","El Salvador",30,205,0,0,205,1,1,1,2,1,2,2,2,2,0.561643835616438,0.561643835616438,0.0821917808219178,0,1,174,2,174,351,20201215,3,1,1,1,0,2,1,1,1,2,0,0,2,3,1,0,0,3,0,2,42132,1212,47.22,54.17,75,NA,NA,NA,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160","San Marino",76,64,95,0,159,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.435616438356164,0.175342465753425,0.208219178082192,0.26027397260274,138,36,108,36,318,20201215,2,1,2,4,0,0,0,2,1,2,0,0,2,3,2,0,0,3,0,0,1982,52,50,54.69,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161","Somalia",44,75,101,15,191,1,2,NA,3,NA,2,2,2,2,0.523287671232877,0.205479452054795,0.120547945205479,0.276712328767123,145,138,81,138,502,20201215,1,0,1,4,0,1,0,1,0,0,0,0,2,2,1,0,0,2,0,0,4579,121,37.96,31.77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162","Serbia",74,77,84,0,161,2,1,2,3,1,2,3,2,2,0.441095890410959,0.210958904109589,0.202739726027397,0.23013698630137,121,40,74,40,275,20201215,2,2,2,4,0,1,1,1,2,1,0,0,2,2,2,0,0,3,0,1,277248,2433,60.19,58.85,62.5,NA,NA,58,63,41,41,33,33,33,NA,99,82,NA,NA,NA,NA,NA,NA,NA,NA,NA
"163","South Sudan",21,141,9,64,214,2,2,2,2,3,3,2,2,3,0.586301369863014,0.386301369863014,0.0575342465753425,0.0246575342465753,59,187,23,187,456,20201215,1,0,2,2,0,1,1,2,0,0,0,0,2,2,2,0,0,3,NA,0,3222,62,46.3,41.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"164","Sao Tome and Principe",90,42,81,22,145,1,1,1,1,1,2,1,1,2,0.397260273972603,0.115068493150685,0.246575342465753,0.221917808219178,118,10,143,10,281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"165","Suriname",69,99,67,0,166,1,1,1,1,1,1,1,2,2,0.454794520547945,0.271232876712329,0.189041095890411,0.183561643835616,99,48,51,48,246,20201215,3,2,2,3,0,2,0,3,1,2,0,0,2,2,1,0,0,4,0,2,5381,117,64.81,63.54,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"166","Slovakia",63,51,28,93,172,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.471232876712329,0.13972602739726,0.172602739726027,0.0767123287671233,67,69,129,69,334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"167","Slovenia",58,83,55,39,177,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.484931506849315,0.227397260273973,0.158904109589041,0.150684931506849,87,84,67,84,322,20201215,3,2,2,4,1,2,2,2,2,1,0,0,2,2,1,0,0,4,0,2,98281,2149,81.48,72.92,75,34,30,41,53,75,75,57,65,66,368,188,150,NA,NA,NA,NA,NA,NA,NA,NA,NA
"168","Sweden",48,0,115,72,187,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.512328767123288,0,0.131506849315068,0.315068493150685,161,124,189,124,598,20201215,2,2,2,4,1,1,1,3,2,1,0,0,2,2,1,0,0,0,0,3,341029,7514,69.44,59.38,62.5,59,5,8,9,86,86,66,61,59,363,186,172,25,2.5,29,3.2,18,2.8,24,3.3,96
"169","Eswatini",23,100,6,106,212,1,2,2,2,2,3,3,3,3,0.580821917808219,0.273972602739726,0.063013698630137,0.0164383561643836,51,181,49,181,462,20201215,2,1,1,3,0,1,1,2,1,1,0,0,2,2,1,0,0,2,0,0,6912,132,50.93,45.31,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Seychelles",30,12,148,45,205,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.561643835616438,0.0328767123287671,0.0821917808219178,0.405479452054795,180,174,182,174,710,20201215,1,0,1,1,0,0,0,3,2,0,0,0,2,2,2,0,0,1,0,0,185,0,31.48,34.38,37.5,NA,NA,NA,NA,34,34,NA,NA,NA,NA,NA,68,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","Syrian Arab Republic",81,55,10,89,154,NA,1,1,2,3,NA,2,NA,NA,0.421917808219178,0.150684931506849,0.221917808219178,0.0273972602739726,61,27,120,27,235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Turks and Caicos Islands",60,97,78,0,175,1,2,1,2,2,2,2,2,2,0.479452054794521,0.265753424657534,0.164383561643836,0.213698630136986,112,79,55,79,325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Chad",50,119,44,22,185,1,NA,1,2,1,3,1,1,2,0.506849315068493,0.326027397260274,0.136986301369863,0.120547945205479,82,120,34,120,356,20201215,1,1,2,4,1,2,2,2,0,1,0,0,2,1,2,0,0,4,0,0,1784,102,70.37,57.29,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","Togo",102,52,64,17,133,1,1,1,2,1,2,2,1,2,0.364383561643836,0.142465753424658,0.279452054794521,0.175342465753425,96,4,127,4,231,20201215,1,2,1,3,1,2,2,2,1,2,0,0,2,2,1,0,0,3,0,2,3295,66,61.11,58.85,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Thailand",54,64,97,20,181,1,1,NA,NA,1,NA,NA,1,NA,0.495890410958904,0.175342465753425,0.147945205479452,0.265753424657534,140,103,108,103,454,20201215,1,1,1,2,1,1,1,2,2,2,0,0,2,2,2,0,0,3,0,1,4261,60,50,57.03,100,21,43,48,46,39,39,11,22,24,178,57,78,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Tajikistan",97,0,138,0,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.378082191780822,0,0.265753424657534,0.378082191780822,176,5,189,5,375,20201215,1,0,2,3,0,0,0,3,1,1,0,0,2,1,1,0,0,3,0,0,12960,87,42.59,40.1,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","Tokelau",29,0,198,8,206,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.564383561643836,0,0.0794520547945206,0.542465753424658,198,177,189,177,741,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Turkmenistan",66,0,169,0,169,1,1,1,1,1,1,1,1,1,0.463013698630137,0,0.180821917808219,0.463013698630137,190,57,189,57,493,20201215,1,3,2,1,2,0,2,4,0,1,0,0,2,0,0,0,0,3,0,0,NA,NA,73.15,48.96,25,NA,NA,NA,NA,6,6,NA,NA,NA,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Timor-Leste",22,56,157,0,213,1,2,2,NA,2,2,2,1,3,0.583561643835616,0.153424657534247,0.0602739726027397,0.43013698630137,188,185,118,185,676,20201215,1,0,0,0,0,2,0,2,1,0,0,0,2,1,2,0,0,3,0,0,31,0,27.78,31.77,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Tonga",21,12,202,0,214,1,1,1,2,2,3,2,1,2,0.586301369863014,0.0328767123287671,0.0575342465753425,0.553424657534247,199,187,182,187,755,20201215,1,0,1,3,0,2,0,4,0,0,0,0,2,1,1,0,0,0,0,0,NA,NA,47.22,31.77,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Trinidad and Tobago",69,90,3,73,166,1,2,1,2,2,2,2,2,2,0.454794520547945,0.246575342465753,0.189041095890411,0.00821917808219178,29,48,60,48,185,20201215,3,2,2,4,1,0,0,4,1,0,0,0,2,1,2,0,0,4,0,1,6900,123,68.52,56.77,12.5,NA,NA,NA,NA,33,33,NA,NA,NA,NA,NA,66,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Tunisia",71,75,3,86,164,1,2,1,2,1,2,1,1,2,0.449315068493151,0.205479452054795,0.194520547945205,0.00821917808219178,29,45,81,45,200,20201215,2,1,2,4,0,2,2,2,1,2,0,0,2,1,1,0,0,4,0,2,113241,3956,68.52,63.54,75,NA,NA,63,67,32,32,NA,NA,NA,NA,NA,64,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","Turkey",62,129,3,41,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473972602739726,0.353424657534247,0.16986301369863,0.00821917808219178,29,74,31,74,208,20201215,2,2,2,4,1,1,1,1,2,2,637989739.04,0,2,2,2,0,0,4,0,3,1898447,16881,62.5,69.01,87.5,18,46,31,31,38,38,38,37,39,236,114,76,20,4.3,26,3.7,19,4.4,19,4.2,84
"184","Tuvalu",40,11,149,35,195,1,1,1,1,1,1,1,1,1,0.534246575342466,0.0301369863013699,0.10958904109589,0.408219178082192,182,146,185,146,659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","United Republic of Tanzania",31,52,132,20,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.558904109589041,0.142465753424658,0.0849315068493151,0.361643835616438,173,170,127,170,640,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Uganda",45,149,7,34,190,1,1,2,2,2,2,2,1,2,0.520547945205479,0.408219178082192,0.123287671232877,0.0191780821917808,55,134,19,134,342,20201215,2,2,1,2,0,2,0,1,0,0,0,0,2,1,1,0,0,2,0,2,28168,225,47.22,38.28,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Ukraine",55,89,90,1,180,2,1,1,1,3,3,2,2,2,0.493150684931507,0.243835616438356,0.150684931506849,0.246575342465753,129,97,62,97,385,20201215,3,2,1,3,2,1,2,2,1,1,0,0,2,3,2,0,0,3,0,3,934161,16038,61.57,61.72,37.5,22,42,38,40,NA,NA,38,36,41,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Uruguay",84,20,37,94,151,3,3,2,3,2,2,3,2,2,0.413698630136986,0.0547945205479452,0.23013698630137,0.101369863013699,72,19,174,19,284,20201215,1,2,2,3,0,0,0,3,2,2,0,0,2,3,1,0,0,2,0,2,10418,98,50,55.73,87.5,NA,NA,56,56,43,43,30,21,24,NA,75,86,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","United States",43,0,0,192,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.526027397260274,0,0.117808219178082,0,1,142,189,142,474,20201215,3,2,2,4,1,2,2,3,2,1,0,0,2,3,1,0,0,4,1,2,16886630,308199,71.76,68.44,62.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,4.8,30,4.7,24,2.5,27,2.7,109
"190","Uzbekistan",82,54,94,5,153,2,2,3,3,3,3,3,2,2,0.419178082191781,0.147945205479452,0.224657534246575,0.257534246575342,137,23,123,23,306,20201215,1,1,1,3,0,1,0,2,1,1,0,0,2,1,2,0,0,2,0,1,75241,612,39.81,42.19,50,NA,NA,NA,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","Saint Vincent and the Grenadines",54,50,77,54,181,1,2,1,2,2,2,2,2,2,0.495890410958904,0.136986301369863,0.147945205479452,0.210958904109589,111,103,130,103,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Venezuela (Bolivarian Republic of)",62,170,3,0,173,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.473972602739726,0.465753424657534,0.16986301369863,0.00821917808219178,29,74,12,74,189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","British Virgin Islands",66,43,6,120,169,1,2,1,2,2,2,2,2,2,0.463013698630137,0.117808219178082,0.180821917808219,0.0164383561643836,51,57,141,57,306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Viet Nam",66,24,117,28,169,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.463013698630137,0.0657534246575342,0.180821917808219,0.320547945205479,163,57,170,57,447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"195","Vanuatu",31,13,185,6,204,1,1,1,3,1,2,2,1,1,0.558904109589041,0.0356164383561644,0.0849315068493151,0.506849315068493,197,170,181,170,718,20201215,0,0,0,0,0,0,2,4,0,1,0,0,2,1,2,0,0,0,0,0,1,0,30.56,28.65,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"196","Samoa",40,21,174,0,195,2,2,NA,2,NA,3,2,3,2,0.534246575342466,0.0575342465753425,0.10958904109589,0.476712328767123,192,146,172,146,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"197","Yemen",48,70,90,27,187,1,1,1,1,1,1,1,1,2,0.512328767123288,0.191780821917808,0.131506849315068,0.246575342465753,129,124,91,124,468,20201215,0,0,0,0,0,0,1,2,0,0,0,0,1,1,1,0,0,1,0,0,2085,606,16.67,16.15,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"198","South Africa",46,54,95,40,189,2,2,2,1,1,2,2,3,2,0.517808219178082,0.147945205479452,0.126027397260274,0.26027397260274,138,132,123,132,525,20201215,1,1,1,2,1,2,0,1,1,2,0,0,2,3,2,0,0,3,0,3,873679,23661,45.37,58.33,75,12,52,32,33,21,21,NA,NA,NA,NA,NA,42,2,2.3,1,3.1,1,3.6,1,4.9,5
"199","Zambia",69,29,85,52,166,1,2,2,2,1,3,2,2,2,0.454794520547945,0.0794520547945206,0.189041095890411,0.232876712328767,124,48,166,48,386,20201215,2,2,1,4,0,1,0,1,0,1,0,0,2,3,2,0,0,3,0,0,18428,368,49.07,47.92,25,NA,NA,NA,NA,20,20,NA,NA,NA,NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200","Zimbabwe",59,98,38,40,176,2,2,1,2,1,2,2,1,2,0.482191780821918,0.268493150684932,0.161643835616438,0.104109589041096,73,80,54,80,287,20201215,1,1,2,3,1,2,2,2,1,0,0,0,2,1,1,0,0,3,0,0,11522,310,67.59,51.04,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
